60,-57
123.34,-57
140.86,-57
127.24,-57
134.9,-57.001
133.25,-56.997
115.22,-57.01
245.07,-56.965
417.07,-57.121
293.65,-56.596
114.77,-58.287
144.79,-53.128
147.66,-67.785
362.29,-29.67
712.8,201.77
729.53,209.69
732.11,216.44
739.26,211.67
734.48,202.17
732.96,205.86
717.23,202.07
817.74,220.35
842.87,162.54
817.07,160.88
854.32,217.59
851.59,212.1
877.11,192.18
946.63,155.76
937.59,182.41
937.42,190.69
929.05,188.23
937.98,201.82
927.07,191.05
923.17,174.8
914.09,164.72
1003.9,182.17
971.11,89.618
758.16,159.87
903.44,247.6
897.65,248.49
628.32,266.58
631.93,239.28
540.05,244.37
559.88,232.36
557.55,245.05
557.05,223.81
564.74,225.79
409.62,153.32
197.71,74.952
133.02,69.534
198.54,44.291
221.66,26.205
200.99,67.209
199.64,65.381
157.43,39.069
109.44,45.352
118.96,43.646
115.83,44.088
116.68,43.98
131.17,44.004
122.91,43.999
127.06,44
111.99,44
116.18,44
136.47,44
67.27,44
54.593,44
69.249,44
65.48,44
64.283,44
64.731,44
56.266,44
78.864,44
151.94,44.001
146.85,43.997
146.82,44.005
138.99,44
138.41,43.942
148.84,44.384
144.03,42.114
158.75,52.148
110.4,11.402
511.47,236.96
757.81,393.1
693.13,372.11
713.56,384.55
709.74,382.13
720.11,390.79
695.39,394.92
628.3,411.63
637.8,411.68
631.88,413.17
630.03,428.47
628.14,425.13
628.21,408.57
631.83,418.16
686.26,328.69
743.85,146.66
760.5,97.311
782.58,108.51
1059.5,81.914
1322,85.791
1264.9,118.95
1248.5,160.76
1257.6,164.15
1331.6,168.5
1307.5,166.63
1318.5,150.36
1318,155.9
1317.5,168.11
1271.5,117.89
1262,103.22
1260.1,127.32
1261.1,115.15
1267,107.64
1263.4,124.89
1258.8,126.52
1256.2,116.29
1261.9,113.17
1275.8,118.95
1291.3,112.29
1282.7,108.86
1280.2,111.6
1270.8,130.62
1285.6,115.56
1287.9,104.51
1281.5,109.57
1288.2,104.22
1285.4,96.36
1283.8,101.11
1286.7,105.99
1285.3,104.51
1283,115.13
1302.6,109.68
1236,128.14
956.49,270.56
865.75,312.16
866.96,305.03
864.07,313.9
869.17,322.19
868.83,316.38
857.93,322.47
854.31,325.02
869.85,321.8
748.18,356.54
653.58,392.71
676.57,394.01
670.3,386.85
666.42,396
689.28,382.93
